Year,Month,Dom_Pax,Int_Pax,Pax,Dom_Flt,Int_Flt,Flt,Dom_RPM,Int_RPM,RPM,Dom_ASM,Int_ASM,ASM,Dom_LF,Int_LF,LF
2003,1,"4,30,32,450","49,05,830","4,79,38,280","7,85,160","57,667","8,42,827","3,62,11,422","1,28,85,980","4,90,97,402","5,61,91,300","1,79,68,572","7,41,59,872",64.44,71.71,66.2
2003,2,"4,11,66,780","42,45,366","4,54,12,146","6,90,351","51,259","7,41,610","3,41,48,439","1,07,15,468","4,48,63,907","5,00,88,434","1,55,87,880","6,56,76,314",68.18,68.74,68.31
2003,3,"4,99,92,700","50,08,613","5,50,01,313","7,97,194","58,926","8,56,120","4,17,74,564","1,25,67,068","5,43,41,633","5,75,92,901","1,77,53,174","7,53,46,075",72.53,70.79,72.12
2003,4,"4,70,33,260","43,45,444","5,13,78,704","7,66,260","55,005","8,21,265","3,94,65,980","1,03,70,592","4,98,36,572","5,46,39,679","1,55,28,761","7,01,68,440",72.23,66.78,71.02
2003,5,"4,91,52,352","46,10,834","5,37,63,186","7,89,397","55,265","8,44,662","4,10,01,934","1,15,75,026","5,25,76,960","5,53,49,897","1,56,29,821","7,09,79,718",74.08,74.06,74.07
2003,6,"5,22,09,516","54,11,504","5,76,21,020","7,98,351","58,225","8,56,576","4,44,92,972","1,39,18,185","5,84,11,157","5,65,55,517","1,71,91,579","7,37,47,096",78.67,80.96,79.2
2003,7,"5,58,10,773","61,91,120","6,20,01,893","8,31,619","62,957","8,94,576","4,83,21,924","1,55,16,794","6,38,38,718","5,96,17,048","1,87,01,759","7,83,18,807",81.05,82.97,81.51
2003,8,"5,39,20,973","62,72,332","6,01,93,305","8,30,737","63,760","8,94,497","4,69,82,527","1,59,06,430","6,28,88,957","5,96,34,190","1,91,44,885","7,87,79,075",78.78,83.08,79.83
2003,9,"4,42,13,408","48,24,596","4,90,38,004","7,81,804","54,017","8,35,821","3,68,19,820","1,35,70,889","5,03,90,709","5,49,73,852","1,78,20,478","7,27,94,329",66.98,76.15,69.22
2003,10,"4,99,44,931","49,20,822","5,48,65,753","8,18,308","54,272","8,72,580","4,14,80,412","1,34,47,446","5,49,27,858","5,80,01,020","1,76,94,417","7,56,95,437",71.52,76,72.56
2003,11,"4,70,59,495","48,45,759","5,19,05,254","7,65,842","53,817","8,19,659","3,93,33,528","1,28,17,176","5,21,50,704","5,57,85,892","1,68,01,272","7,25,87,163",70.51,76.29,71.85
2003,12,"4,97,57,124","53,58,991","5,51,16,115","7,98,392","57,578","8,55,970","4,26,99,596","1,39,29,565","5,66,29,161","5,88,42,551","1,76,48,530","7,64,91,081",72.57,78.93,74.03
2004,1,"4,38,15,481","52,55,246","4,90,70,727","7,87,237","58,293","8,45,530","3,81,14,607","1,35,15,639","5,16,30,246","5,83,06,593","1,79,88,081","7,62,94,673",65.37,75.14,67.67
2004,2,"4,53,06,597","49,41,629","5,02,48,226","7,61,618","55,822","8,17,440","3,85,75,084","1,21,53,432","5,07,28,516","5,61,80,696","1,69,23,112","7,31,03,808",68.66,71.82,69.39
2004,3,"5,41,47,227","58,05,703","5,99,52,930","8,34,476","60,649","8,95,125","4,65,07,739","1,47,35,428","6,12,43,168","6,18,33,579","1,83,62,220","8,01,95,799",75.21,80.25,76.37
2004,4,"5,32,53,194","56,64,027","5,89,17,221","8,17,899","60,455","8,78,354","4,57,95,662","1,43,38,191","6,01,33,853","6,00,67,863","1,84,57,525","7,85,25,388",76.24,77.68,76.58
2004,5,"5,30,30,873","57,67,517","5,87,98,390","8,33,350","62,596","8,95,946","4,53,50,262","1,53,88,457","6,07,38,719","6,09,23,099","1,98,44,360","8,07,67,459",74.44,77.55,75.2
2004,6,"5,69,59,142","64,05,771","6,33,64,913","8,36,916","64,256","9,01,172","4,97,74,219","1,70,06,831","6,67,81,050","6,16,29,864","2,03,55,959","8,19,85,822",80.76,83.55,81.45
2004,7,"5,96,14,287","71,83,275","6,67,97,562","8,71,049","69,890","9,40,939","5,27,30,292","1,81,82,782","7,09,13,074","6,40,95,669","2,17,31,193","8,58,26,863",82.27,83.67,82.62
2004,8,"5,73,80,873","69,86,797","6,43,67,670","8,82,979","68,332","9,51,311","5,08,16,430","1,77,60,431","6,85,76,861","6,44,79,721","2,16,40,665","8,61,20,386",78.81,82.07,79.63
2004,9,"4,76,71,785","53,96,245","5,30,68,030","8,19,294","56,541","8,75,835","4,06,44,161","1,52,47,819","5,58,91,980","5,76,94,884","1,95,02,122","7,71,97,006",70.45,78.19,72.4
2004,10,"5,41,67,489","56,29,964","5,97,97,453","8,61,291","58,659","9,19,950","4,57,65,588","1,53,84,002","6,11,49,590","6,16,04,719","1,98,83,889","8,14,88,607",74.29,77.37,75.04
2004,11,"5,17,81,700","53,84,214","5,71,65,914","8,20,048","58,312","8,78,360","4,35,61,708","1,41,18,725","5,76,80,434","5,94,31,353","1,88,48,375","7,82,79,728",73.3,74.91,73.69
2004,12,"5,26,39,838","60,41,853","5,86,81,691","8,36,232","63,469","8,99,701","4,51,81,080","1,55,23,403","6,07,04,483","6,20,54,841","2,02,54,013","8,23,08,853",72.81,76.64,73.75
2005,1,"4,79,77,657","61,58,509","5,41,36,166","8,07,338","64,803","8,72,141","4,16,09,095","1,55,80,719","5,71,89,815","5,95,80,514","2,05,71,388","8,01,51,902",69.84,75.74,71.35
2005,2,"4,70,74,882","54,99,590","5,25,74,472","7,60,955","59,351","8,20,306","4,01,14,944","1,34,70,430","5,35,85,374","5,59,64,342","1,86,51,403","7,46,15,745",71.68,72.22,71.82
2005,3,"5,88,38,975","69,64,313","6,58,03,288","8,66,593","68,802","9,35,395","5,07,89,921","1,72,93,704","6,80,83,625","6,37,43,171","2,12,01,138","8,49,44,309",79.68,81.57,80.15
2005,4,"5,49,08,859","63,88,741","6,12,97,600","8,38,122","66,430","9,04,552","4,70,02,623","1,62,18,686","6,32,21,309","6,12,62,216","2,09,90,887","8,22,53,103",76.72,77.27,76.86
2005,5,"5,73,23,876","65,75,254","6,38,99,130","8,72,961","68,225","9,41,186","4,90,16,422","1,73,94,296","6,64,10,718","6,31,60,148","2,19,43,039","8,51,03,187",77.61,79.27,78.04
2005,6,"5,97,24,061","71,23,126","6,68,47,187","8,63,422","69,814","9,33,236","5,21,81,786","1,87,50,411","7,09,32,197","6,33,78,463","2,23,73,102","8,57,51,565",82.33,83.81,82.72
2005,7,"6,23,96,446","78,67,346","7,02,63,792","8,87,084","74,818","9,61,902","5,52,90,372","2,00,37,449","7,53,27,821","6,58,13,398","2,37,92,009","8,96,05,407",84.01,84.22,84.07
2005,8,"5,91,10,633","74,19,187","6,65,29,820","8,90,938","73,164","9,64,102","5,25,10,003","1,92,05,090","7,17,15,093","6,53,09,256","2,34,18,626","8,87,27,882",80.4,82.01,80.83
2005,9,"5,06,00,325","59,33,841","5,65,34,166","8,14,935","61,812","8,76,747","4,35,24,915","1,66,31,990","6,01,56,904","5,86,74,828","2,14,25,051","8,00,99,879",74.18,77.63,75.1
2005,10,"5,37,38,093","58,73,755","5,96,11,848","8,31,265","61,017","8,92,282","4,58,95,538","1,60,89,364","6,19,84,902","6,03,92,331","2,10,33,727","8,14,26,057",76,76.49,76.12
